output\result\result-TUW-174216-xstream.xml;"Digital Libraries
Digital Preservation
Preservation Planning
Content Characterisation
Migration
XML languages
Evaluation
File formats
File conversion
";"Digital Libraries
Digital Preservation
Preservation Planning
Content Characterisation
Migration
XML languages
Evaluation
File formats
File conversion Category: H37 Information Storage and Retrieval-Digital Libraries;
";,89;,89;,89
output\result\result-TUW-175428-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-176087-xstream.xml;"Serious games
mental disorders
cognitive-behavioral therapy
";"Serious games
mental disorders
cognitive-behavioral therapy
";1,00;1,00;1,00
output\result\result-TUW-177140-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-179146-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-180162-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-181199-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-182414-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-182899-xstream.xml;"";"SenseCam, passive image capture
reflective practice
teacher training
";,00;none expected;0
output\result\result-TUW-185321-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-185441-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-186227-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-189842-xstream.xml;"Rehabilitation technologies
stroke
user centred design
";"";none extracted value;,00;0
output\result\result-TUW-191715-xstream.xml;"computer graphics
rendering
visualization
challenges
computer vision
";"computer graphics
rendering
visualization
challenges
computer vision 2000 Mathematics Subject Classification: 68-02
68U05
";,67;,80;,73
output\result\result-TUW-191977-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-192724-xstream.xml;"the personnel usefulness function
innovation characteristics
the employee selection efficiency method
";"the personnel usefulness function
innovation characteristics
the employee selection efficiency method
";1,00;1,00;1,00
output\result\result-TUW-194085-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-194561-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-194660-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-197422-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-197852-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198400-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198401-xstream.xml;"Security
Risk Management
Economics
Decision Support
";"Security
Risk Management
Economics
Decision Support
";1,00;1,00;1,00
output\result\result-TUW-198405-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-198408-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200745-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200748-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200948-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-200950-xstream.xml;"";"Topics: Parameterized Complexity
Bounded Treewidth
Graph Coloring
";,00;none expected;0
output\result\result-TUW-200959-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201066-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201160-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201167-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-201821-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-202034-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-202824-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-203409-xstream.xml;"code generation
instruction selection
just-in-time compilation
simulation
";"code generation
instruction selection
just-in-time compilation
simulation
";1,00;1,00;1,00
output\result\result-TUW-203924-xstream.xml;"genomic medicine
decision support
interoperability
ontology
Arden Syntax
";"genomic medicine
decision support
interoperability
ontology
Arden Syntax
";1,00;1,00;1,00
output\result\result-TUW-204724-xstream.xml;"intellectual capital
strategic knowledge management
";"";none extracted value;,00;0
output\result\result-TUW-205557-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-205933-xstream.xml;"Unified Theory of Information
Ways of Thinking
Difference
Variety
Negentropy
Semiosis
Indeterminacy
Reflection
";"Unified Theory of Information
Ways of Thinking
Difference
Variety
Negentropy
Semiosis
Indeterminacy
Reflection
";1,00;1,00;1,00
output\result\result-TUW-213513-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-216744-xstream.xml;"Medical Practice
Information Retrieval
Semantic Technologies
Decision Support
Multilinguality
";"Medical Practice
Information Retrieval
Semantic Technologies
Decision Support
Multilinguality
";1,00;1,00;1,00
output\result\result-TUW-217690-xstream.xml;"Tracking, and mapping, augmented, and virtual realities
";"";none extracted value;,00;0
output\result\result-TUW-217971-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-221215-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-223906-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-223973-xstream.xml;"computer-interpretable clinical guidelines
medical guideline formalization
Many-Headed Bridge (MHB)
UMLS
Information Extraction (IE)
";"computer-interpretable clinical guidelines
medical guide-line formalization
Many-Headed Bridge (MHB)
UMLS
Information Extraction (IE)
";,80;,80;,80
output\result\result-TUW-225252-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-226000-xstream.xml;"Ambient Assisted Living
Human-Computer Interaction
User Description Languages
Comparison
Adaptability
User Preferences
";"Ambient Assisted Living
Human-Computer Interaction
User Description Languages
Comparison
Adaptability
User Preferences
";1,00;1,00;1,00
output\result\result-TUW-226016-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-228620-xstream.xml;"Business networking
Resilience
Information exchange
Security
Privacy
Enforcement
";"";none extracted value;,00;0
output\result\result-TUW-231707-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-233317-xstream.xml;"data provenance
analytic provenance
sensemaking
data quality
quality metrics
visual data analysis
";"data provenance
analytic provenance
sensemaking
data quality
quality metrics
visual data analysis Index Terms: Human-centered Computing [Visualization]: Vi-sualization application domains-Visual Analytics Mathematics of computing [Probability and statistics]: Statistical paradigms-Exploratory data analysis
";,83;,83;,83
output\result\result-TUW-233657-xstream.xml;"Information Visualization
Visual Analytics
Science Fiction
";"Index Terms-Information Visualization
Visual Analytics
Science Fiction
";,67;,67;,67
output\result\result-TUW-236063-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-236120-xstream.xml;"vocational schools
competence orientation
educational standards
technical high school
secondary education
";"";none extracted value;,00;0
output\result\result-TUW-237297-xstream.xml;"E-Learning
learners’ requirements
higher education
self-regulated learning
";"E-Learning
learners' requirements
higher education
self-regulated learning
";,75;,75;,75
output\result\result-TUW-240858-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-245336-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-245799-xstream.xml;"(CTC)
Model Based Diagnosis
logic relations
fuzzy logic
";"(CTC)
Model Based Diagnosis
logic relations
fuzzy logic
";1,00;1,00;1,00
output\result\result-TUW-247301-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-247741-xstream.xml;"image segmentation
evaluation metrics
selection
";"Index Terms-image segmentation
evaluation met-rics
selection
";,33;,33;,33
output\result\result-TUW-247743-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-251544-xstream.xml;"Informatik
Informatisches Denken
Computational Thinking
Primarstufe
Computer Science Unplugged
Biber der Informatik
";"Informatik
Informatisches Denken
Computational Thinking
Primarstufe
Computer Science Unplugged
Biber der Informatik
";1,00;1,00;1,00
output\result\result-TUW-252847-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-255712-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-256654-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-257397-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-257870-xstream.xml;"Telecare
AAL
User-Centered Design
Older People
";"Author Keywords Telecare
AAL
User-Centered Design
Older People ACM Classification Keywords D31 Requirements Elicitation Methods H52 User-Centered Design
";,50;,50;,50
